"source,headline,pubDate,date,headline_length"
"Yahoo Finance,PNC completes $4.1bn purchase of FirstBank,2026-01-06 11:52:42+00:00,2026-01-06,42"
"Yahoo Finance,""Stock market today: Dow, S&P 500, Nasdaq futures take a breather after Dow's record rally"",2026-01-05 23:52:17+00:00,2026-01-05,89"
"Yahoo Finance,Top executives at subprime auto lender charged with fraud. Here’s how prosecutors say they misled banks to earn billions,2026-01-06 11:45:00+00:00,2026-01-06,120"
"Yahoo Finance,Morning Bid: Swiftly moving on ,2026-01-06 11:06:08+00:00,2026-01-06,31"
"Yahoo Finance,""HELOC and home equity loan rates today, January 6, 2026: Holding near 7.5%"",2026-01-06 11:00:41+00:00,2026-01-06,74"
"Yahoo Finance,Verallia appoints Cristina Riesgo as CFO,2026-01-06 11:50:26+00:00,2026-01-06,40"
"Yahoo Finance,""Best CD rates today, January 6, 2026: Lock in up to 4.1% APY today"",2026-01-06 11:00:39+00:00,2026-01-06,66"
"Yahoo Finance,""Best money market account rates today, January 6, 2026 (Earn up to 4.1% APY)"",2026-01-06 11:00:24+00:00,2026-01-06,76"
"Yahoo Finance,""Best high-yield savings interest rates today, January 6, 2026 (Earn up to 4% APY)"",2026-01-06 11:00:12+00:00,2026-01-06,81"
"Yahoo Finance,""Mortgage and refinance interest rates today, January 6, 2026: Bubbling just above and below 6%"",2026-01-06 11:00:01+00:00,2026-01-06,94"
"Yahoo Finance,Richard Baker appointed Saks Global CEO as Marc Metrick steps down,2026-01-06 11:44:43+00:00,2026-01-06,66"
"Yahoo Finance,How to become a millionaire in the US with a 9-to-5 salary (even a mediocre one). Make your biggest jump in 2026,2026-01-06 11:00:00+00:00,2026-01-06,112"
"Yahoo Finance,Microchip Technology raises Q3 revenue forecast on strong bookings,2026-01-05 21:55:54+00:00,2026-01-05,66"
"Yahoo Finance,Shaq revealed the 1 concept he used to preserve his fortune as an NBA player,2026-01-06 10:27:00+00:00,2026-01-06,76"
"Yahoo Finance,""Why Big Oil has a long road ahead in Venezuela, the 'fallen angel of global crude markets'"",2026-01-05 19:26:28+00:00,2026-01-05,90"
"Yahoo Finance,Stonegate’s Pub Partners confirms £30m pipeline after £12m Q1 investment,2026-01-06 11:38:14+00:00,2026-01-06,72"
"Yahoo Finance,IDEX Corporation‘s Q4 2025 Earnings: What to Expect,2026-01-06 08:11:27+00:00,2026-01-06,51"
"Yahoo Finance,""Best high-yield savings interest rates today, January 5, 2026 (Earn up to 4% APY)"",2026-01-05 11:00:45+00:00,2026-01-05,81"
"Yahoo Finance,""Best money market account rates today, January 5, 2026 (Earn up to 4.1% APY)"",2026-01-05 11:00:22+00:00,2026-01-05,76"
"Yahoo Finance,""Mortgage and refinance interest rates today, January 5, 2026: Rates barely above 6% but look for even lower offers"",2026-01-05 11:00:23+00:00,2026-01-05,114"
"Yahoo Finance,Aktis Oncology kicks 2026 IPO cycle off with $210m target,2026-01-06 11:38:08+00:00,2026-01-06,57"
"Yahoo Finance,""HELOC and home equity loan rates Monday, January 5, 2026: Both options feature lower rates"",2026-01-05 11:00:27+00:00,2026-01-05,90"
"Yahoo Finance,""Gold price today, Monday, January 5: Gold price rises after U.S. captures Venezuelan president"",2026-01-05 12:18:57+00:00,2026-01-05,94"
"Yahoo Finance,""Best CD rates today, January 5, 2026 (Lock in up to 4.1% APY)"",2026-01-05 11:00:21+00:00,2026-01-05,61"
"Yahoo Finance,4 money market accounts with interest rates of 4% APY and higher (updated weekly),2025-04-15 16:01:54+00:00,2025-04-15,81"
"Yahoo Finance,""Claire’s and The Original Factory Shop face administration, 2,550 jobs at risk"",2026-01-06 11:32:06+00:00,2026-01-06,78"
"Yahoo Finance,When will mortgage rates go down? The outlook heading into 2026.,2025-04-22 19:06:10+00:00,2025-04-22,64"
"Yahoo Finance,11 savings accounts with interest rates of 4% APY and higher (updated weekly),2024-06-04 17:53:01+00:00,2024-06-04,77"
"Yahoo Finance,""Best travel credit cards for January 2026: Earn free flights, hotel stays, and more"",2025-11-12 17:27:58+00:00,2025-11-12,83"
"Yahoo Finance,Best credit cards with no annual fee for January 2026,2024-11-25 20:47:47+00:00,2024-11-25,53"
"Yahoo Finance,Is this a good time to buy a house?,2024-01-26 22:46:12+00:00,2024-01-26,35"
"Yahoo Finance,The best credit cards for Airbnb rentals in January 2026: Earn points and cash back for your stay,2025-04-14 18:32:12+00:00,2025-04-14,97"
"Yahoo Finance,The best financial habits to start in January — backed by data,2026-01-05 14:00:45+00:00,2026-01-05,62"
"Yahoo Finance,The best balance transfer credit cards for January 2026: Don't pay any interest until 2027,2025-09-08 19:03:15+00:00,2025-09-08,90"
"Yahoo Finance,IBM powers digital upgrade for Egypt’s Bank NXT,2026-01-06 11:29:05+00:00,2026-01-06,47"
"Yahoo Finance,""Mortgage lenders with the best rates this week, January 5, 2026"",2025-11-03 17:08:34+00:00,2025-11-03,63"
"Yahoo Finance,Student loans will look different in 2026. Here's what's changing.,2025-12-17 22:09:15+00:00,2025-12-17,66"
"Yahoo Finance,5 best banks and credit unions for military in 2026,2025-02-27 20:25:30+00:00,2025-02-27,51"
"Yahoo Finance,""Trump accounts explained: How they work, who qualifies"",2025-12-04 20:57:05+00:00,2025-12-04,54"
"Yahoo Finance,Analyst Report: Chewy Inc,2026-01-05 17:20:12+00:00,2026-01-05,25"
"Yahoo Finance,CRC Group moves into transactional risk market with Euclid purchase,2026-01-06 11:27:25+00:00,2026-01-06,67"
"Yahoo Finance,Best credit card sign-up bonuses and welcome offers for January 2026 — Enjoy boosted first-year credit card rewards,2025-07-02 16:24:30+00:00,2025-07-02,115"
"CNBC,""GM posts 5.5% U.S. sales gain in 2025, Stellantis' Jeep marks first increase in seven years"",,,91"
"CNBC,""Lucid increases EV deliveries by 55% in 2025, meets lowered guidance"",,,68"
"CNBC,Comcast spinoff Versant starts trading on Nasdaq in rare media debut,,,68"
"CNBC,First GLP-1 pill for obesity from Novo Nordisk launches in the U.S. ,,,68"
"CNBC,Chick-fil-A launches its biggest ever marketing campaign as restaurant industry traffic shrinks,,,95"
"CNBC,Saks Global announces new CEO as it reportedly prepares for bankruptcy,,,70"
"CNBC,Behind the mesh curtain: Why airline class wars will intensify in 2026,,,70"
"CNBC,""Stellantis resurrects $100,000 Ram TRX V-8 pickup truck amid industry deregulation"",,,82"
"CNBC,""Home prices are getting slightly more affordable, but down payments are still holding buyers back"",,,97"
"CNBC,These restaurant chains closed locations in 2025,,,48"
"CNBC,Tech startup Hyphen is bringing AI to the lunch line — with help from Cava and Chipotle,,,87"
"CNBC,Here’s what to expect for commercial real estate in 2026,,,56"
"CNBC,""GM's record stock performance beats Tesla, Ford and other automakers in 2025"",,,76"
"CNBC,Restaurants' hottest menu item in 2025 was 'value.' That won't change next year,,,79"
"CNBC,""Airlines cancel 1,400 more flights but disruptions from winter storm ease. Here’s what to know"",,,94"
"CNBC,""Tariffs hit boots, bags and more as leather prices jump — and relief could be years away"",,,88"
"CNBC,Free streaming service Tubi is rivaling major players for viewership. Here's how it's winning ,,,94"
"CNBC,Tanger CEO says retailers are 'discounting to meet the consumer' this holiday season,,,84"
"CNBC,Southwest's profits are down 42% this year but it's the top U.S. airline stock,,,78"
"CNBC,EV realism is here. How automakers react in 2026 will be telling,,,64"
"CNBC,""Holiday retail spending rose 4.2% this season, driven by e-commerce and electronics: Visa report"",,,96"
"CNBC,FDA approves first GLP-1 pill for obesity from Wegovy maker Novo Nordisk,,,72"
"CNBC,Why Warner Bros. Discovery shareholders might opt for Paramount's offer — and why they might not,,,96"
"CNBC,Paramount guarantees Larry Ellison backing in amended WBD bid,,,61"
"CNBC,The NBA is pursuing ownership groups for a potential basketball league in Europe ,,,81"
"CNBC,""Brick trophies, a life-size pink Cadillac and a team sponsorship: Why Lego is going all in on F1"",,,96"
"CNBC,Supplements in your stocking: Why wellness gifts are gaining steam for the holidays and beyond,,,94"
"CNBC,Disney's 'Avatar: Fire and Ash' disappoints with weak $88 million domestic opening,,,82"
"CNBC,How Build-A-Bear went from a penny stock to a retail winner,,,59"
"CNBC,""Inside the dealmaking that pushed Trump to reclassify pot, expand access"",,,72"
