"source,headline,pubDate,date,headline_length,Date,Open,High,Low,Close,Volume,is_trading_day"
"Yahoo Finance,PNC completes $4.1bn purchase of FirstBank,2026-01-06 11:52:42+00:00,2026-01-06,42,,,,,,,True"
"Yahoo Finance,""Stock market today: Dow, S&P 500, Nasdaq futures take a breather after Dow's record rally"",2026-01-05 23:52:17+00:00,2026-01-05,89,2026-01-05,270.6400146484375,271.510009765625,266.1400146484375,267.260009765625,45598200.0,False"
"Yahoo Finance,Top executives at subprime auto lender charged with fraud. Here’s how prosecutors say they misled banks to earn billions,2026-01-06 11:45:00+00:00,2026-01-06,120,,,,,,,True"
"Yahoo Finance,Morning Bid: Swiftly moving on ,2026-01-06 11:06:08+00:00,2026-01-06,31,,,,,,,True"
"Yahoo Finance,""HELOC and home equity loan rates today, January 6, 2026: Holding near 7.5%"",2026-01-06 11:00:41+00:00,2026-01-06,74,,,,,,,True"
"Yahoo Finance,Verallia appoints Cristina Riesgo as CFO,2026-01-06 11:50:26+00:00,2026-01-06,40,,,,,,,True"
"Yahoo Finance,""Best CD rates today, January 6, 2026: Lock in up to 4.1% APY today"",2026-01-06 11:00:39+00:00,2026-01-06,66,,,,,,,True"
"Yahoo Finance,""Best money market account rates today, January 6, 2026 (Earn up to 4.1% APY)"",2026-01-06 11:00:24+00:00,2026-01-06,76,,,,,,,True"
"Yahoo Finance,""Best high-yield savings interest rates today, January 6, 2026 (Earn up to 4% APY)"",2026-01-06 11:00:12+00:00,2026-01-06,81,,,,,,,True"
"Yahoo Finance,""Mortgage and refinance interest rates today, January 6, 2026: Bubbling just above and below 6%"",2026-01-06 11:00:01+00:00,2026-01-06,94,,,,,,,True"
"Yahoo Finance,Richard Baker appointed Saks Global CEO as Marc Metrick steps down,2026-01-06 11:44:43+00:00,2026-01-06,66,,,,,,,True"
"Yahoo Finance,How to become a millionaire in the US with a 9-to-5 salary (even a mediocre one). Make your biggest jump in 2026,2026-01-06 11:00:00+00:00,2026-01-06,112,,,,,,,True"
"Yahoo Finance,Microchip Technology raises Q3 revenue forecast on strong bookings,2026-01-05 21:55:54+00:00,2026-01-05,66,2026-01-05,270.6400146484375,271.510009765625,266.1400146484375,267.260009765625,45598200.0,False"
"Yahoo Finance,Shaq revealed the 1 concept he used to preserve his fortune as an NBA player,2026-01-06 10:27:00+00:00,2026-01-06,76,,,,,,,True"
"Yahoo Finance,""Why Big Oil has a long road ahead in Venezuela, the 'fallen angel of global crude markets'"",2026-01-05 19:26:28+00:00,2026-01-05,90,2026-01-05,270.6400146484375,271.510009765625,266.1400146484375,267.260009765625,45598200.0,False"
"Yahoo Finance,Stonegate’s Pub Partners confirms £30m pipeline after £12m Q1 investment,2026-01-06 11:38:14+00:00,2026-01-06,72,,,,,,,True"
"Yahoo Finance,IDEX Corporation‘s Q4 2025 Earnings: What to Expect,2026-01-06 08:11:27+00:00,2026-01-06,51,,,,,,,True"
"Yahoo Finance,""Best high-yield savings interest rates today, January 5, 2026 (Earn up to 4% APY)"",2026-01-05 11:00:45+00:00,2026-01-05,81,2026-01-05,270.6400146484375,271.510009765625,266.1400146484375,267.260009765625,45598200.0,False"
"Yahoo Finance,""Best money market account rates today, January 5, 2026 (Earn up to 4.1% APY)"",2026-01-05 11:00:22+00:00,2026-01-05,76,2026-01-05,270.6400146484375,271.510009765625,266.1400146484375,267.260009765625,45598200.0,False"
"Yahoo Finance,""Mortgage and refinance interest rates today, January 5, 2026: Rates barely above 6% but look for even lower offers"",2026-01-05 11:00:23+00:00,2026-01-05,114,2026-01-05,270.6400146484375,271.510009765625,266.1400146484375,267.260009765625,45598200.0,False"
"Yahoo Finance,Aktis Oncology kicks 2026 IPO cycle off with $210m target,2026-01-06 11:38:08+00:00,2026-01-06,57,,,,,,,True"
"Yahoo Finance,""HELOC and home equity loan rates Monday, January 5, 2026: Both options feature lower rates"",2026-01-05 11:00:27+00:00,2026-01-05,90,2026-01-05,270.6400146484375,271.510009765625,266.1400146484375,267.260009765625,45598200.0,False"
"Yahoo Finance,""Gold price today, Monday, January 5: Gold price rises after U.S. captures Venezuelan president"",2026-01-05 12:18:57+00:00,2026-01-05,94,2026-01-05,270.6400146484375,271.510009765625,266.1400146484375,267.260009765625,45598200.0,False"
"Yahoo Finance,""Best CD rates today, January 5, 2026 (Lock in up to 4.1% APY)"",2026-01-05 11:00:21+00:00,2026-01-05,61,2026-01-05,270.6400146484375,271.510009765625,266.1400146484375,267.260009765625,45598200.0,False"
"Yahoo Finance,4 money market accounts with interest rates of 4% APY and higher (updated weekly),2025-04-15 16:01:54+00:00,2025-04-15,81,,,,,,,True"
"Yahoo Finance,""Claire’s and The Original Factory Shop face administration, 2,550 jobs at risk"",2026-01-06 11:32:06+00:00,2026-01-06,78,,,,,,,True"
"Yahoo Finance,When will mortgage rates go down? The outlook heading into 2026.,2025-04-22 19:06:10+00:00,2025-04-22,64,,,,,,,True"
"Yahoo Finance,11 savings accounts with interest rates of 4% APY and higher (updated weekly),2024-06-04 17:53:01+00:00,2024-06-04,77,,,,,,,True"
"Yahoo Finance,""Best travel credit cards for January 2026: Earn free flights, hotel stays, and more"",2025-11-12 17:27:58+00:00,2025-11-12,83,,,,,,,True"
"Yahoo Finance,Best credit cards with no annual fee for January 2026,2024-11-25 20:47:47+00:00,2024-11-25,53,,,,,,,True"
"Yahoo Finance,Is this a good time to buy a house?,2024-01-26 22:46:12+00:00,2024-01-26,35,,,,,,,True"
"Yahoo Finance,The best credit cards for Airbnb rentals in January 2026: Earn points and cash back for your stay,2025-04-14 18:32:12+00:00,2025-04-14,97,,,,,,,True"
"Yahoo Finance,The best financial habits to start in January — backed by data,2026-01-05 14:00:45+00:00,2026-01-05,62,2026-01-05,270.6400146484375,271.510009765625,266.1400146484375,267.260009765625,45598200.0,False"
"Yahoo Finance,The best balance transfer credit cards for January 2026: Don't pay any interest until 2027,2025-09-08 19:03:15+00:00,2025-09-08,90,,,,,,,True"
"Yahoo Finance,IBM powers digital upgrade for Egypt’s Bank NXT,2026-01-06 11:29:05+00:00,2026-01-06,47,,,,,,,True"
